level,subject_code,subject_name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,source_doc,source_section,sort_order
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L111,人工智慧概念,L11101,AI的定義與分類,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,1
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L111,人工智慧概念,L11102,AI治理概念,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,2
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11201,資料基本概念與來源,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,3
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11202,資料整理與分析流程,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,4
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L112,資料處理與分析概念,L11203,資料隱私與安全,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,5
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L113,機器學習概念,L11301,機器學習基本原理,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,6
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L113,機器學習概念,L11302,常見的機器學習模型,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,7
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11401,鑑別式AI與生成式AI的基本原理,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,8
初級,A1,人工智慧基礎概論,L11,人工智慧基礎概論,L114,鑑別式 AI 與生成式 AI 概念,L11402,鑑別式AI與生成式AI的整合應用,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,9
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L121,No code / Low code 概念,L12101,No Code / Low Code的基本概念,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,10
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L121,No code / Low code 概念,L12102,No Code / Low Code的優勢與限制,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,11
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L122,生成式 AI 應用領域與工具使用,L12201,生成式AI應用領域與常見工具,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,12
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L122,生成式 AI 應用領域與工具使用,L12202,如何善用生成式AI工具,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,13
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12301,生成式AI導入評估,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,14
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12302,生成式AI導入規劃,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,15
初級,A2,生成式AI應用與規劃,L12,生成式 AI 應用與規劃,L123,生成式 AI 導入評估規劃,L12303,生成式AI風險管理,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,16
中級,B1,人工智慧技術應用與規劃,L21,人工智慧技術應用與規劃,L211,AI 相關技術應用,L21101,自然語言處理技術與應用,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,17
中級,B1,人工智慧技術應用與規劃,L21,人工智慧技術應用與規劃,L211,AI 相關技術應用,L21102,電腦視覺技術與應用,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,18
中級,B1,人工智慧技術應用與規劃,L21,人工智慧技術應用與規劃,L211,AI 相關技術應用,L21103,生成式AI技術與應用,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,19
中級,B1,人工智慧技術應用與規劃,L21,人工智慧技術應用與規劃,L211,AI 相關技術應用,L21104,多模態人工智慧應用,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,20
中級,B1,人工智慧技術應用與規劃,L21,人工智慧技術應用與規劃,L212,AI 導入評估規劃,L21201,AI導入評估,115年度AI應用規劃師能力鑑定簡章 2026/04/10,2.5 評鑑主題與評鑑內容,21
